Tag,Train Count,Test Count,Total Count,Tag Origin,Precision,Recall,F1-Score
FS,9010,2252,11262,Both,0.9991126885536823,1.0,0.9995561473590768
PUNC,7055,1838,8893,Both,0.9934994582881906,0.9978237214363439,0.995656894679696
PRP,5510,1376,6886,Both,0.9744744744744744,0.9433139534883721,0.9586410635155096
NIP,3489,857,4346,Both,0.9728132387706856,0.9603267211201867,0.9665296535525543
CC,2990,687,3677,Both,0.9705014749262537,0.9577874818049491,0.9641025641025641
DET,4656,1165,5821,Both,0.9555555555555556,0.959656652360515,0.9576017130620985
ABB,1608,426,2034,Both,0.9433106575963719,0.9765258215962441,0.9596309111880046
CM,1796,434,2230,Both,0.9429223744292238,0.9516129032258065,0.9472477064220184
NUM,4280,1166,5446,Both,0.9391666666666667,0.9665523156089194,0.9526627218934911
RP,4859,1275,6134,Both,0.9379310344827586,0.96,0.9488372093023256
NNP,20054,5063,25117,Both,0.9301954527323494,0.9211929685956942,0.9256723231120373
POST,14754,3628,18382,Both,0.9269738614928591,0.948180815876516,0.93745741926693
AUX,1260,300,1560,Both,0.9228295819935691,0.9566666666666667,0.939443535188216
VNN,5628,1417,7045,Both,0.919970631424376,0.8842625264643613,0.9017632241813602
VNF,10034,2545,12579,Both,0.9180522565320665,0.9111984282907662,0.914612502464997
VP,13919,3498,17417,Both,0.9124149659863946,0.9202401372212693,0.9163108454312553
NNC,49373,12213,61586,Both,0.9119680186557841,0.8965856055023336,0.9042113955408753
VFM,5203,1346,6549,Both,0.9062720225510923,0.9554234769687965,0.9301989150090416
JJ,14426,3557,17983,Both,0.851721094439541,0.8138881079561429,0.832374928119609
RRPCV,3267,844,4111,Both,0.8331415420023015,0.8578199052132701,0.8453006421482778
RB,2099,496,2595,Both,0.7757575757575758,0.7741935483870968,0.7749747729566094
NCV,3705,927,4632,Both,0.7160731472569779,0.8025889967637541,0.7568667344862665
JCV,2567,622,3189,Both,0.6688632619439868,0.6527331189710611,0.660699755899105
NNJ,5139,1296,6435,Both,0.6509372979961215,0.7770061728395061,0.7084066127330285
NVB,653,174,827,Both,0.5911602209944752,0.6149425287356322,0.6028169014084507
QBE,146,37,183,Both,0.5,0.08108108108108109,0.13953488372093023
UNK,300,55,355,Both,0.0,0.0,0.0
QUE,73,17,90,Both,0.0,0.0,0.0
NDT,60,14,74,Both,0.0,0.0,0.0
NN,1,1,2,Both,0.0,0.0,0.0
FRW,0,1,1,Test Only,0.0,0.0,0.0
NNp,0,1,1,Test Only,0.0,0.0,0.0
NVF,0,1,1,Test Only,0.0,0.0,0.0
URL,0,1,1,Test Only,0.0,0.0,0.0
VVF,0,1,1,Test Only,0.0,0.0,0.0
ACV,2,0,2,Train Only,0.0,0.0,0.0
FSS,1,0,1,Train Only,0.0,0.0,0.0
NNNP,1,0,1,Train Only,0.0,0.0,0.0
UH,1,0,1,Train Only,0.0,0.0,0.0
UNF,1,0,1,Train Only,0.0,0.0,0.0
VNF[,1,0,1,Train Only,0.0,0.0,0.0
VNP,1,0,1,Train Only,0.0,0.0,0.0
